uri,download link,filename
https://bdebooks.com/books/adim-ripu-by-nihar-ranjan-gupta,dl.bdebooks.com/index.php/s/TFz2MqSB7MbXpfg/download,Adim ripu by Nihar Rangan Gupta - (BdeBooks.Com).pdf
https://bdebooks.com/books/amader-shikkha-kon-pathey-by-abdullah-al-muti,dl.bdebooks.com/index.php/s/iTpzjwtkwtZXBrP/download,amader shikkha kon pathey by Abdullah Al Muti  - (BdeBooks.Com).pdf
https://bdebooks.com/books/bigganer-bishmoy-by-abdullah-al-muti,dl.bdebooks.com/index.php/s/xc5j2sAHgL58f65/download,Bigganer Bishmoy by Albdullah Al Muti - (BdeBooks.Com).pdf
https://bdebooks.com/books/abishkarer-neshay-by-abdullah-al-muti,dl.bdebooks.com/index.php/s/z8TsgWTgHznQHCs/download,Abishkarer Neshay By Abdullah Al Muti  - (BdeBooks.Com).pdf
https://bdebooks.com/books/shreshto-biggan-bisoyok-rochona-by-abdullah-al-muti,dl.bdebooks.com/index.php/s/ep66gsL8fkEte6N/download,srershto biggan bisoyok rochona by Abdullah AL Muti - (BdeBooks.Com).pdf
https://bdebooks.com/books/ajker-biggan-o-bangladesh-by-abdullah-al-muti,dl.bdebooks.com/index.php/s/QRnYFdQxp56G2F3/download,Ajker Biggan O Bangladesh By Abdullah Al Muti  - (BdeBooks.Com).pdf
https://bdebooks.com/books/shikkha-o-biggan-notun-digonto-by-abdullah-al-muti,dl.bdebooks.com/index.php/s/JKmEBBLLJNFtQFS/download,shikhkha o biggan notun diganto by Abdullah Al Muti - (BdeBooks.Com).pdf
https://bdebooks.com/books/eso-bigganer-rajje-by-abdullah-al-muti,dl.bdebooks.com/index.php/s/9KFLw4RK6qZzmXa/download,Aso Bigganer Rajje By Abdullah Al Muti  - (BdeBooks.Com).pdf
https://bdebooks.com/books/e-juger-biggan-by-abdullah-al-muti,dl.bdebooks.com/index.php/s/LjBxXmoAqmH58fo/download,A juger Biggan by Abdullah Al Muti - (BdeBooks.Com).pdf
https://bdebooks.com/books/mohon-royer-bashi-by-shirshendu-mukhopadhyay,dl.bdebooks.com/index.php/s/Q8Lg5gcMBrbk53E/download,Mohon Roy'er Bashi by Shirshendu Mukhopadhyay - (BdeBooks.Com).pdf
https://bdebooks.com/books/mahabharater-chhay-prabin-by-nrisingha-prasad-bhaduri,dl.bdebooks.com/index.php/s/G65Wzx3dEWoQooc/download,mahabharater chhay prabin  by Nrisingha Prasad Bhaduri - (BdeBooks.Com).pdf
https://bdebooks.com/books/rohosshomoy-upottaka-by-sukanta-gangopadhyay,dl.bdebooks.com/index.php/s/5bCLrsnNYQryTFM/download,Rohosshomoy Upottaka by Sukanta Gangopadhyay - (BdeBooks.Com).pdf
https://bdebooks.com/books/sapta-konnar-kahini-by-sunil-gangopadhyay,dl.bdebooks.com/index.php/s/EEFDMx8grgwRAoF/download,Sapta Konnar kahini by Sunil Gangopadhyay - (BdeBooks.Com).pdf
https://bdebooks.com/books/unhu-by-shirshendu-mukhopadhyay,dl.bdebooks.com/index.php/s/PX9mfkqoZPkmneF/download,Unhu by Shirshendu Mukhopadhyay - (BdeBooks.Com).pdf
